Brand;Model;Body_Type;Year;Price;Mileage;Engine_Size;Horsepower;Fuel_Type;Gender;Marital_Status;Has_Children;Social_Status
Nissan;Altima;Sedan;2018;47799;73586;2,5;216;Electric;Male;Married;3;3
Toyota;Camry;Sedan;2019;32170;69260;2,5;143;Petrol;Female;Single;2;3
Hyundai;Santa Fe;Sedan;2020;38624;6061;1,8;236;Petrol;Female;Married;3;4
Hyundai;Sonata;Sedan;2021;41929;89907;;243;Petrol;Female;Married;3;3
Toyota;Corolla;Sedan;2021;32205;29275;2;103;Petrol;Male;Married;2;5
Hyundai;Tucson;Sedan;2021;27533;95379;;181;Petrol;Male;Single;2;5
Toyota;Corolla;Sedan;2019;35622;59059;2;356;Petrol;Male;Single;3;3
Kia;Sorento;Sedan;2020;40442;36220;2;202;Electric;Male;Single;1;4
Mercedes;GLE;Sedan;2018;44393;63931;2;299;Petrol;Male;Married;1;3
Honda;Civic;Truck;2018;28010;68539;2,5;249;Petrol;Female;Married;3;1
Mercedes;GLE;Sedan;2019;34962;67751;1,6;384;Petrol;Male;Single;3;2
Hyundai;Elantra;Sedan;2019;15325;71961;2;217;Petrol;Female;Single;2;2
Honda;Accord;Sedan;2021;23653;83488;2,5;219;Petrol;Female;Married;2;2
Kia;Sportage;Sedan;2020;34466;26928;2;364;Petrol;Female;Single;0;4
Nissan;Sentra;Sedan;2021;44551;68367;1,6;350;Petrol;Female;Married;2;4
Hyundai;Tucson;Sedan;2020;27608;15445;3,5;246;Petrol;Female;Married;3;1
Kia;Optima;Sedan;2020;16951;84034;2,5;262;Petrol;Female;Single;1;5
Chevrolet;Malibu;Sedan;2020;40772;72032;2;184;Petrol;Female;Single;2;3
BMW;X3;Sedan;2021;44512;50406;2;204;Petrol;Male;Married;1;5
Chevrolet;Camaro;Truck;2019;18704;61040;2;286;Petrol;Female;Single;3;2
Chevrolet;Malibu;Sedan;2021;15587;38777;1,6;361;Petrol;Male;Single;0;4
Honda;Accord;Sedan;2020;45680;46599;3,5;267;Petrol;Female;Married;1;2
BMW;5 Series;Hatchback;2021;39830;98624;2,5;306;Petrol;Female;Single;2;2
Toyota;Camry;Sedan;2020;27351;89366;2;216;Petrol;Female;Single;1;2
Toyota;RAV4;Sedan;2020;47122;81739;2;176;Petrol;Male;Single;1;2
Nissan;Maxima;Sedan;2020;33184;59120;2;179;Petrol;Male;Married;2;1
Hyundai;Sonata;Sedan;2018;37249;63786;3,5;199;Petrol;Female;Single;0;3
BMW;3 Series;Sedan;2020;30827;61245;3,5;150;Petrol;Male;Married;2;2
Tesla;Model Y;Sedan;2020;22233;17656;1,6;273;Electric;Female;Single;3;1
Kia;Sorento;Sedan;2021;18455;99019;;368;Petrol;Male;Single;2;5
Mercedes;GLC;Sedan;2021;47377;12271;2;145;Petrol;Female;Married;3;2
Tesla;Model S;Sedan;2019;35077;38092;2;131;Petrol;Female;Single;2;5
Ford;Explorer;Sedan;2021;15301;62061;3,5;391;Petrol;Female;Single;0;1
Kia;Soul;Sedan;2020;42648;44742;3,5;189;Petrol;Male;Single;3;3
Tesla;Model 3;Sedan;2021;29287;92633;3,5;235;Petrol;Female;Married;3;1
BMW;3 Series;Sedan;2020;49094;23312;3,5;182;Electric;Male;Single;2;4
Honda;Civic;Sedan;2021;47215;38601;2,5;278;Petrol;Female;Married;1;2
Tesla;Model 3;Sedan;2020;37080;23896;2;315;Petrol;Female;Single;0;4
Nissan;Maxima;Sedan;2021;16604;76922;;379;Petrol;Female;Married;0;3
Chevrolet;Malibu;Sedan;2021;39135;18859;2;362;Petrol;Female;Single;0;3
Hyundai;Santa Fe;Sedan;2021;26425;62226;2;292;Petrol;Male;Married;1;1
Hyundai;Tucson;Sedan;2020;49738;62910;2;158;Petrol;Male;Married;3;2
BMW;5 Series;Sedan;2018;18826;94687;2,5;346;Petrol;Male;Single;3;5
Kia;Sportage;Hatchback;2020;43748;57921;2;110;Petrol;Male;Married;0;3
Toyota;RAV4;Sedan;2019;47303;77010;3,5;104;Petrol;Female;Married;3;3
Ford;Fusion;Sedan;2020;37776;48381;2;137;Electric;Male;Single;2;2
Mercedes;E-Class;Sedan;2019;48114;73584;1,8;323;Petrol;Female;Married;1;4
BMW;X3;Sedan;2021;42875;24380;;218;Petrol;Male;Single;1;4
BMW;X5;Sedan;2021;23270;51731;1,6;165;Petrol;Male;Single;3;5
Honda;Fit;Truck;2019;36494;8133;;390;Petrol;Female;Married;1;2
Mercedes;C-Class;Sedan;2020;45110;57320;1,8;147;Petrol;Female;Married;2;1
Ford;Explorer;Truck;2020;46971;85757;;168;Petrol;Male;Married;3;4
Kia;Sorento;Sedan;2021;16923;78750;2;221;Petrol;Female;Married;0;2
Ford;Fusion;Sedan;2018;24391;25118;2;349;Petrol;Female;Single;0;1
Ford;F-150;Sedan;2021;22136;96210;2,5;183;Electric;Female;Married;1;3
Honda;CR-V;Sedan;2019;17812;54386;;143;Petrol;Female;Married;2;3
BMW;5 Series;Sedan;2020;25768;48843;2,5;148;Petrol;Male;Married;1;3
Toyota;Corolla;Truck;2021;18258;33992;2,5;118;Petrol;Female;Married;2;3
Chevrolet;Malibu;Sedan;2019;30998;64441;1,8;273;Electric;Female;Married;0;3
BMW;X5;Sedan;2021;35129;83915;2;140;Petrol;Male;Married;1;2
Nissan;Rogue;Sedan;2020;21830;80268;2;159;Petrol;Female;Single;1;4
BMW;5 Series;Sedan;2019;38713;85519;2;276;Petrol;Female;Single;2;1
Honda;Fit;Sedan;2021;23986;64486;2;129;Petrol;Male;Single;2;3
Honda;Accord;Sedan;2020;27011;73657;2;273;Petrol;Male;Single;0;1
Nissan;Rogue;Truck;2020;22108;46273;;313;Petrol;Male;Single;1;5
Toyota;RAV4;Sedan;2020;39516;5350;2;247;Petrol;Male;Single;1;2
Kia;Soul;Truck;2020;47063;45214;2,5;363;Electric;Male;Married;1;1
BMW;X3;Sedan;2021;23682;79328;1,8;205;Petrol;Female;Single;1;5
Nissan;Maxima;Sedan;2020;27103;52403;2;297;Petrol;Female;Single;3;2
